简体中文,Bahasa Indonesia,English
获取数据标签：,Ambil label data:,Obtain data labels:,
备用数据标签：,Label data cadangan:,Backup data label:,
触发地址列表,Daftar alamat pemicu,Trigger Address List,
导入触发标签,Impor tag pemicu,Import trigger tag,
标签,Label,Label,
切除地址列表,Hapus daftar alamat,Remove address list,
导入切除标签,Impor label pemotongan,Import excision label,
服务名：,Nama layanan:,Service name:,
寻址方式：,Metode pengalamatan:,Addressing mode:,
心跳标签：,Label Detak Jantung:,Heartbeat Tag:,
状态标签：,Label status:,Status label:,
起始标签：,Tag awal:,Start Tag:,
信号长度：,Panjang sinyal:,Signal length:,
切除长度：,Panjang pemotongan:,Excised length:,
选择,Pilih,Select,
输入或选择帐号,Masukkan atau pilih akun,Enter or select an account,
输入用户密码,Masukkan kata sandi pengguna,Enter user password,
输入帐号,Masukkan akun,Enter account number,
输入姓名,Masukkan nama,Enter name,
输入用户密码,Masukkan kata sandi pengguna,Enter user password,
选择部门,Pilih departemen,Select department,
联系电话,Nomor telepon,Contact number,
录入三枚指纹,Masukkan tiga sidik jari,Enter three fingerprints,
录入指纹,Rekam sidik jari,Enroll fingerprint,
删除指纹,Hapus sidik jari,Delete fingerprint,
补液,Pemberian cairan,Fluid replenishment,
复投,Reinvestasi,Reinvestment,
手动输入条码,Masukkan kode batang secara manual,Manually input barcode,
清除电池,Bersihkan baterai,Clear the battery,
自动扫码条码长度,Panjang kode batang pemindaian otomatis,Automatic scan code barcode length,
获取,Mendapatkan,Get,
工单号,Nomor tiket,Work Order Number,
信息描述,Deskripsi informasi,Information description,
工单,Tiket kerja,Work order,
型号,Model,Model,
料号,Nomor bahan,Part number,
工单数,Jumlah tiket kerja,Number of work orders,
超产数,Jumlah produksi yang berlebihan,Overproduction number,
生产数,Jumlah produksi,Production number,
解析,Analisis,Analyze,
使用设备索引,Menggunakan indeks perangkat,Use the device index,
注意：未找到设备，正使用数据索引！,Catatan: Tidak ada perangkat yang ditemukan, pengindeksan data sedang digunakan!,Note: No device found, data indexing is being used!,
发送报文,Kirim pesan,Send a message,
返回报文,Kembali ke pesan,Return to message,
接口,Antarmuka,Interface,
耗时(ms),Waktu yang Dikonsumsi (ms),Time Consumed (ms),
信息,Informasi,Information,
读取值：,Nilai baca:,Read values:,
设备：,Peralatan:,Equipment:,
序号：,Nomor seri:,Serial number:,
读取,Membaca,Read,
写入值：,Tulis Nilai:,Write Values:,
写入,Menulis,Write,
跟随系统主题,Ikuti tema sistem,Follow the system theme,
打开系统主题面板,Buka panel Tema Sistem,Open the System Themes panel,
选择模式,Pilih mode,Select the mode,
选择主题色,Pilih warna tema,Choose a theme color,
自动登陆禁用中...,Login otomatis dinonaktifkan...,Auto-login is disabled...,
[ 浏览模式 ],[Mode Penjelajahan],[ Browsing Mode ],
无权限或程序处于运行状态,Tidak ada izin atau program yang berjalan,No permissions or programs running,
登陆有相关权限帐号或停止运行关闭浏览模式,Program Tidak Adai Zin Atou mengangkat Bel Jalan,Tidak Adai Zin Atou Program raised Bel Jalan,
解析,Analisis,Analyze,
